NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],NextNodeName,EdgeDataSize[MB]
/model.3/act/Mul_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.3/act/Mul_output_0_DequantizeLinear,2.4576
/model.3/act/Mul_output_0_DequantizeLinear,9830400.0,4.9999999999999996e-06,9.8304,/model.4/cv1/conv/Conv,9.8304
/model.4/cv1/conv/Conv,1892352000.0,0.149005,9.8304,/model.4/cv1/conv/Conv_output_0_QuantizeLinear,9.8304
/model.4/cv1/conv/Conv_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.4/cv1/conv/Conv_output_0_DequantizeLinear,2.4576
/model.4/cv1/conv/Conv_output_0_DequantizeLinear,9830400.0,4.9999999999999996e-06,9.8304,/model.4/cv1/act/Sigmoid,9.8304,/model.4/cv1/act/Mul,9.8304
/model.4/cv1/act/Sigmoid,157286400.0,0,9.8304,/model.4/cv1/act/Sigmoid_output_0_QuantizeLinear,9.8304
/model.4/cv1/act/Mul,4915200.0,0,9.8304,/model.4/cv1/act/Mul_output_0_QuantizeLinear,9.8304
/model.4/cv1/act/Mul_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.4/cv1/act/Mul_output_0_DequantizeLinear,2.4576
/model.4/cv1/act/Mul_output_0_DequantizeLinear,9830400.0,4.9999999999999996e-06,9.8304,/model.4/Split,9.8304
/model.4/Split,0.0,1.6e-05,9.8304,/model.4/Split_output_0_QuantizeLinear,4.9152,/model.4/Split_output_1_QuantizeLinear,4.9152
/model.4/Split_output_0_QuantizeLinear,4915200.0,4.9999999999999996e-06,1.2288,/model.4/Split_output_0_DequantizeLinear,1.2288
/model.4/Split_output_1_QuantizeLinear,4915200.0,4.9999999999999996e-06,1.2288,/model.4/Split_output_1_DequantizeLinear,1.2288
/model.4/Split_output_1_DequantizeLinear,4915200.0,4.9999999999999996e-06,4.9152,/model.4/m.0/cv1/conv/Conv,4.9152,/model.4/m.0/cv2/conv/Conv,4.9152,/model.4/Concat,4.9152
/model.4/m.0/cv1/conv/Conv,237158400.0,0.018829000000000002,2.4576,/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear,2.4576
/model.4/m.0/cv2/conv/Conv,237158400.0,0.018829000000000002,2.4576,/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear,2.4576
/model.4/Concat,0.0,0,19.6608,/model.4/Concat_output_0_QuantizeLinear,19.6608
/model.4/Concat_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.4/Concat_output_0_DequantizeLinear,4.9152
/model.4/Concat_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.4/cv2/conv/Conv,19.6608
/model.4/cv2/conv/Conv,7559577600.0,0.592909,19.6608,/model.4/cv2/conv/Conv_output_0_QuantizeLinear,19.6608
/model.4/cv2/conv/Conv_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.4/cv2/conv/Conv_output_0_DequantizeLinear,4.9152
/model.4/cv2/conv/Conv_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.4/cv2/act/Sigmoid,19.6608,/model.4/cv2/act/Mul,19.6608
