,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,Error
59,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3165919780731201
60,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3113243579864502
61,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3098989501595497
62,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3070383295416832
63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04350229352712631
64,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04832424595952034
65,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.07350408472120762
66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30541934072971344
67,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.04803570732474327
68,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.01753669884055853
69,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3133586198091507
70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04551186040043831
71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3118109032511711
72,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.045432547107338905
73,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3117150813341141
74,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.308307409286499
75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06594626605510712
76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30796878039836884
77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.06966297701001167
78,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3132941871881485
79,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.31390245258808136
80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.035390486009418964
81,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06239069066941738
82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.055759694427251816
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05281297117471695
84,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.30883321911096573
85,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3123471811413765
86,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.31964724510908127
87,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.31475400924682617
88,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3136558160185814
89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.049804771319031715
90,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.31361719220876694
91,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3158384710550308
92,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0820242315530777
93,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3078036233782768
94,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30973319709300995
95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0385068329051137
96,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.06716232001781464
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047508785501122475
98,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05973336286842823
99,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.055984338745474815
100,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.31335029006004333
101,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3124735578894615
102,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30964209884405136
103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.043041753582656384
104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05241752602159977
105,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.056758422404527664
106,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31069234013557434
107,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.31363755464553833
108,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0755754616111517
109,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05622155964374542
110,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30723125487565994
111,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.045136746019124985
112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.03646690957248211
113,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0758118536323309
114,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07137176021933556
115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04607976786792278
116,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.31282927840948105
117,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0524511244148016
118,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.31023988127708435
119,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06386069022119045
120,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3134002611041069
121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039988202042877674
122,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06020641140639782
123,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.31577158719301224
124,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0654232744127512
125,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3189971596002579
126,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06708546169102192
127,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.31264257431030273
128,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3158820569515228
129,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.30716612190008163
130,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.31202080845832825
131,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.036310985684394836
132,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.31297319382429123
133,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.31542153656482697
134,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05965285561978817
135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04373265616595745
136,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.055630577728152275
137,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.31727587431669235
138,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07170236483216286
139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06383036449551582
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0546101164072752
141,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3105756938457489
142,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.059635015204548836
143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.31214191764593124
144,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022552017122507095
145,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05729468911886215
146,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06048154458403587
147,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3133072331547737
148,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04605146870017052
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3125918358564377
150,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.30717215687036514
151,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.06127362325787544
152,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05546804144978523
153,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.312930591404438
154,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3042989820241928
155,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.31245389580726624
156,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.31313227117061615
157,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03618774190545082
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.306346133351326
159,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06002981215715408
160,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.31247953325510025
161,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.31449174880981445
162,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06731618568301201
163,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3172556757926941
164,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0646191518753767
165,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.31140610575675964
166,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07100678980350494
167,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.31101852655410767
168,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3111737444996834
169,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.06493907235562801
170,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04824049398303032
171,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3120237737894058
172,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.05798405408859253
173,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.31308846920728683
174,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3135550916194916
175,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05426502227783203
176,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01659983955323696
177,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3150116577744484
178,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04407172650098801
