,/model.1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,Error
58,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.15282277017831802
59,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15472344225272536
60,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15476107001304626
61,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15429313480854034
62,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15109183844178914
63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004643066960852593
64,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.026475827442482114
65,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.032310709916055204
66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14884437080472707
67,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.03727560620754957
68,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.025516616040840746
69,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15638430938124656
70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023495722631923854
71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.14913559826090933
72,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.07086243573576212
73,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.15171003397554159
74,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.154995908588171
75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06115391370840371
76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1503561457619071
77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.041481712367385626
78,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15658426210284232
79,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.1547476753592491
80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.019296573125757277
81,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018950916675385086
82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03591721472330391
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008490834874100983
84,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.15547381509095431
85,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.149835851136595
86,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15743463914841413
87,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.15456373561173678
88,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1533852519467473
89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.061486181104555726
90,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.15224288702011107
91,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.14934879783540964
92,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.07022871817462147
93,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14716488188132643
94,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.15514781158417462
95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07067768387496472
96,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0371671780012548
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01831411528401077
98,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06411656667478383
99,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0659678891301155
100,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15836834535002708
101,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.158289497718215
102,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14961181562393905
103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06364329135976732
104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.030762061709538102
105,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02621227256022394
106,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1495117573067546
107,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.15773716922849418
108,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.03417764883488417
109,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06746504125185311
110,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14772392213344573
111,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0653359206393361
112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05863492023199797
113,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.03867859276942909
114,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06911377250216902
115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.028658393723890185
116,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.14882534109055995
117,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.03504752456210554
118,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15384208587929607
119,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.030943039664998652
120,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15374918133020402
121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013615010899957269
122,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07111851200461387
123,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15314145674929022
124,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.039560252148658034
125,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.15543236499652266
126,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06537229493260384
127,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1536049425601959
128,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.15441865650936962
129,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.15446011275053023
130,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.15783280692994595
131,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0238909057341516
132,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.15333615783602
133,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.15274756960570812
134,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06652420507743954
135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0663974542170763
136,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03307068762369454
137,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1538892245851457
138,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.028028358053416014
139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0636570079717785
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.06120372978039086
141,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1542252741754055
142,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.07410299135372042
143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.14831288252025843
144,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02351113564800471
145,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07074788510799408
146,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07635712837800383
147,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1524307243525982
148,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023391075269319116
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15645994041115047
150,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15252621117979287
151,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0712576842866838
152,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.03293815422803163
153,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15428098738193513
154,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15037154387682677
155,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15729804700240493
156,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15171384066343307
157,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0607322889380157
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1493533505126834
159,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06893842713907361
160,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1496480534784496
161,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.15416164230555296
